Abalistes stellaris
Ablabys binotatus
Ablennes hians
Abudefduf septemfasciatus
Abudefduf sexfasciatus
Abudefduf sordidus
Abudefduf sparoides
Abudefduf vaigiensis
Acanthocybium solandri
Acanthopagrus berda
Acanthopagrus bifasciatus
Acanthopagrus catenula
Acanthoplesiops indicus
Acanthurus blochii
Acanthurus dussumieri
Acanthurus leucosternon
Acanthurus lineatus
Acanthurus mata
Acanthurus nigricauda
Acanthurus nigrofuscus
Acanthurus sohal
Acanthurus tennentii
Acanthurus thompsoni
Acanthurus triostegus
Acanthurus xanthopterus
Acentrogobius caninus
Acentrogobius nebulosus
Acentrogobius simplex
Acropoma japonicum
Acroteriobatus zanzibarensis
Aeoliscus punctulatus
Aeoliscus strigatus
Aesopia cornuta
Aethaloperca rogaa
Aetobatus narinari
Aetobatus ocellatus
Aetomylaeus bovinus
Aetomylaeus milvus
Albula vulpes
Aldrovandia affinis
Alectis ciliaris
Alectis indica
Alepes djedaba
Allenbatrachus grunniens
Alopias pelagicus
Alopias superciliosus
Alopias vulpinus
Alticus kirkii
Aluterus monoceros
Aluterus scriptus
Amanses scopas
Ambassis ambassis
Ambassis gymnocephalus
Ambassis natalensis
Ambassis urotaenia
Amblyeleotris delicatulus
Amblyeleotris diagonalis
Amblyeleotris periophthalma
Amblyeleotris steinitzi
Amblygaster leiogaster
Amblygaster sirm
Amblyglyphidodon leucogaster
Amblygobius albimaculatus
Amblygobius sewardii
Amphiprion akallopisos
Amphiprion allardi
Amphiprion clarkii
Amphiprion ephippium
Anampses caeruleopunctatus
Anampses lineatus
Anampses meleagrides
Anampses twistii
Anguilla bicolor
Anguilla labiata
Anguilla marmorata
Anguilla mossambica
Anisochromis kenyae
Antennablennius variopunctatus
Antennarius hispidus
Antennarius pictus
Antennarius striatus
Antennatus coccineus
Antennatus dorehensis
Antennatus nummifer
Antennatus tuberosus
Antigonia capros
Antigonia indica
Antigonia rubescens
Antigonia undulata
Anyperodon leucogrammicus
Aphanius dispar
Aphareus furca
Aphareus rutilans
Apistus carinatus
Apogon coccineus
Apogonichthyoides nigripinnis
Apogonichthyoides taeniatus
Apogonichthys perdix
Apolemichthys trimaculatus
Aporops bilinearis
Aprion virescens
Apsilus fuscus
Archamia bleekeri
Argentina euchus
Argyrops filamentosus
Argyrops spinifer
Ariomma indicum
Ariomma parini
Arius africanus
Arius madagascariensis
Arius venosus
Arnoglossus dalgleishi
Arothron hispidus
Arothron immaculatus
Arothron mappa
Arothron meleagris
Arothron nigropunctatus
Arothron stellatus
Aseraggodes diringeri
Aspidontus tractus
Asterorhombus intermedius
Asterropteryx semipunctata
Ateleopus natalensis
Atherinomorus duodecimalis
Atherinomorus lacunosus
Atherinomorus pinguis
Atherion africanum
Atrophacanthus japonicus
Atule mate
Aulostomus chinensis
Aurigequula fasciata
Austrolethops wardi
Auxis rochei
Auxis thazard
Balistapus undulatus
Balistoides conspicillum
Balistoides viridescens
Barbourichthys zanzibaricus
Bathycallionymus kaianus
Bathygobius fuscus
Bathyphylax bombifrons
Bathytyphlops sewelli
Belonoperca chabanaudi
Bembrops nematopterus
Bembrops platyrhynchus
Benthosema pterotum
Beryx splendens
Blenniella chrysospilos
Blenniella cyanostigma
Blenniella gibbifrons
Blenniella periophthalmus
Bodianus anthioides
Bodianus axillaris
Bodianus bilunulatus
Bodianus diana
Bodianus leucosticticus
Bodianus macrognathos
Bodianus opercularis
Bodianus perditio
Bodianus trilineatus
Bolbometopon muricatum
Bothus mancus
Bothus myriaster
Bothus pantherinus
Brachysomophis crocodilinus
Brama dussumieri
Brevitrygon imbricata
Brotula multibarbata
Bryx analicarens
Bulbonaricus brucei
Bulbonaricus davaoensis
Butis butis
Bythaelurus tenuicephalus
Caesio caerulaurea
Caesio lunaris
Caesio teres
Caesio varilineata
Caesio xanthalytos
Caesio xanthonota
Callechelys bitaeniata
Callionymus africanus
Callionymus filamentosus
Callionymus marleyi
Callionymus regani
Callogobius bifasciatus
Callogobius plumatus
Calloplesiops altivelis
Calotomus carolinus
Calotomus spinidens
Calumia godeffroyi
Cantherhines dumerilii
Cantherhines fronticinctus
Cantherhines pardalis
Canthidermis maculata
Canthigaster bennetti
