Acidoton urens
Actinidia chinensis
Actinochloris sp
Actinotaenium cruciferum
Actinotaenium curtum
Adinandra millettii
Adoxa moschatellina
Aduncodinium glandula
Aegilops speltoides
Aeginetia indica
Akebia quinata
Alangium chinense
Allium cepa
Amphidoma languida
Ankistrodesmus bibraianus
Ankistrodesmus densus
Ankistrodesmus falcatus
Ankistrodesmus falcatus var
Ankistrodesmus fusiformis
Ankistrodesmus gracilis
Ankistrodesmus nannoselene
Anneslea fragrans
Annona muricata
Apterosperma oblata
Arabidopsis thaliana
Aristolochia macrophylla
Asarum canadense
Astrephomene gubernaculifera
Astrephomene perforata
Atherosperma moschatum
Austrobaileya scandens
Averrhoa carambola
Axilosphaera vegetata
Bacopa monnieri
Balanophora japonica
Bambusa oldhamii
Barringtonia fusicarpa
Barringtonia racemosa
Bartsia sp
Basichlamys sacculifera
Batis maritima
Bauhinia blakeana
Bernardia dodecandra
Bernardia nicaraguensis
Bernardia pulchella
Beta macrocarpa
Beta vulgaris
Beta vulgaris subsp
Betula pendula
Bia alienata
Bia fendleri
Botryococcus braunii
Botryococcus sp
Botryosphaerella sudetica
Brachiomonas sp
Brachiomonas submarina
Bupleurum falcatum
Buxus sp
Cabomba sp
Calluna vulgaris
Calycanthus floridus
Camellia elongata
Camellia mairei
Camellia oleifera
Camellia reticulata
Camellia sinensis
Camellia szechuanensis
Canella winterana
Cannabis sativa
Cardiopteris sp
Carica papaya
Carludovica palmata
Caryodendron grandifolium
Caryodendron orinocense
Cassiope mertensiana
Cassytha filiformis
Ceanothus herbaceus
Ceratonia siliqua
cf
Chamaedaphne calyculata
Characiopodium hindakii
Characium californicum
Characium oviforme
Characium sp
Characium typicum
Cheilotheca macrocarpa
Chilomonas insignis
Chilomonas sp
Chlamydomonadaceae sp
Chlamydomonas acidophila
Chlamydomonas angulosa
Chlamydomonas applanata
Chlamydomonas baca
Chlamydomonas callosa
Chlamydomonas cribrum
Chlamydomonas debaryana
Chlamydomonas dorsoventralis
Chlamydomonas geitleri
Chlamydomonas gerloffii
Chlamydomonas globosa
Chlamydomonas hydra
Chlamydomonas hydra var
Chlamydomonas incerta
Chlamydomonas leiostraca
Chlamydomonas moewusii
Chlamydomonas moewusii var
Chlamydomonas philotes
Chlamydomonas pseudopertusa
Chlamydomonas pulsatilla
Chlamydomonas reinhardtii
Chlamydomonas simplex
Chlamydomonas sordida
Chlamydomonas sp
Chlamydomonas subcaudata
Chlamydomonas subtilis
Chloranthus multistachys
Chlorococcum aquaticum
Chlorococcum echinozygotum
Chlorococcum hypnosporum
