Abramis brama
Acanthopagrus bifasciatus
Acanthis flammea
Acipenser oxyrinchus
Acipenser sturio
Accipiter gentilis
Accipiter gentilis buteoides
Accipiter nisus
Acrocephalus agricola
Acrocephalus arundinaceus
Acrocephalus dumetorum
Acrocephalus melanopogon
Acrocephalus paludicola
Acrocephalus palustris
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Actitis hypoleucos
Actitis macularius
Aegithalos caudatus
Aegolius funereus
Aegypius monachus
Aix galericulata
Aix sponsa
Alauda arvensis
Alauda gulgula
Alburnus alburnus
Alca torda
Alces alces
Alectoris chukar
Alectoris graeca
Alectoris rufa
Alcedo atthis
Alectoris chukar
Alectoris graeca
Alectoris rufa
Alle alle
Allenbatrachus grunniens
Alopex lagopus
Alopochen aegyptiaca
Ameiurus nebulosus
Anampses twistii
Anas acuta
Anas americana
Anas carolinensis
Anas clypeata
Anas crecca
Anas cyanoptera
Anas discors
Anas falcata
Anas formosa
Anas penelope
Anas platyrhynchos
Anas poecilorhyncha
Anas querquedula
Anas rubripes
Anas strepera
Mareca penelope
Anguilla anguilla
Anguis fragilis
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser caerulescens caerulescens
Anser cygnoides
Anser erythropus
Anser fabalis
Anser indicus
Anthropoides virgo
Anthus campestris
Anthus cervinus
Anthus godlewskii
Anthus gustavi
Anthus hodgsoni
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus spinoletta
Anthus trivialis
Apodemus agrarius
Apodemus flavicollis
Apodemus sylvaticus
Apogonichthyoides nigripinnis
Apus affinis
Apus apus
Apus melba
Apus pacificus
Apus pallidus
Aquila chrysaetos
Aquila clanga
Aquila fasciata
Aquila heliaca
Aquila nipalensis
Aquila pennata
Aquila pomarina
Ardea alba
Ardea cinerea
Ardea purpurea
Ardeola ralloides
Arenaria interpres
Arothron mappa
Arvicola amphibious
Arvicola terrestris
Asio flammeus
Asio otus
Athene noctua
Aythya affinis
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Balaenoptera acutorostrata
Balaenoptera borealis
Balaenoptera brydei
Balaenoptera musculus
Balaenoptera physalus
Barbastella barbastellus
Barbatula barbatula
Bartramia longicauda
Bison bonasus
Blicca bjoerkna
Bodianus axillaris
Bodianus bilunulatus
Bombina bombina
Bombina variegata
Bombycilla garrulus
Bos taurus
Botaurus lentiginosus
Botaurus stellaris
Branta bernicla bernicla
Branta bernicla hrota
Branta bernicla nigricans
Branta bernicla
Branta canadensis
Branta leucopsis
Branta ruficollis
Bubo bubo
Bubo scandiacus
Bubulcus ibis
Bucanetes githagineus
Bucephala albeola
Bucephala clangula
Bufo bufo
Bufotes variabilis
Bulweria bulwerii
Burhinus oedicnemus
Buteo buteo
Buteo buteo vulpinus
Buteo lagopus
Buteo rufinus
Cairina moscata
Cairina moschata
Calandrella brachydactyla
Calandrella rufescens
Calcarius lapponicus
Calidris acuminata
Calidris alba
Calidris alpina
Calidris bairdii
Calidris canutus
Calidris ferruginea
Calidris fuscicollis
Calidris himantopus
Calidris maritima
Calidris mauri
Calidris melanotos
Calidris minuta
Calidris minutilla
Calidris pugnax
Calidris pusilla
Calidris ruficollis
Calidris temminckii
Calidris tenuirostris
Calonectris diomedea
Canis aureus
Canis lupus
Canis lupus familiaris
Capreolus capreolus
Caprimulgus aegyptius
Caprimulgus europaeus
Caprimulgus ruficollis
Carassius auratus
Carassius carassius
Carduelis cabaret
Carduelis cannabina
Carduelis carduelis
Carduelis chloris
Carduelis flammea
Carduelis flavirostris
Carduelis hornemanni
Carduelis sinica
Carduelis spinus
Caretta caretta
Carpodacus erythrinus
Carpodacus roseus
Castor fiber
Cathartes aura
Catharus ustulatus
Cecropis daurica
Cepphus grylle
Cepphus grylle atlantis
Certhia brachydactyla
Certhia familiaris
Cervus elaphus
Cervus nippon
Cettia cetti
Charadrius alexandrinus
Charadrius dubius
Charadrius hiaticula
Charadrius hiaticula tundrae
Charadrius leschenaultii
Charadrius mongolus
Charadrius morinellus
Charadrius vociferus
Chen rossii
Chinchilla laniger
Chlamydotis macqueenii
Chlamydotis undulata
Clethrionomys glareolus
Chlidonias hybrida
Chlidonias leucopterus
Chlidonias niger
Chloephaga picta
Chloris chloris
Chroicocephalus genei
Chroicocephalus philadelphia
Chroicocephalus ridibundus
Chrysolophus pictus
Ciconia ciconia
Ciconia nigra
Cinclus cinclus
Circaetus gallicus
Circus aeruginosus
Circus cyaneus
Circus macrourus
Circus pygargus
Cisticola juncidis
Clamator glandarius
Clangula hyemalis
Cobitis taenia
Coccothraustes coccothraustes
Coccyzus americanus
Coccyzus erythrophthalmus
Colaptes auratus
Colinus virginianus
Coloeus monedula
Columba livia
Columba oenas
Columba palumbus
Coracias garrulus
Coregonus albula
Coregonus lavaretus
Coris aygula
Coronella austriaca
Corvus corax
Corvus cornix
Corvus corone
Corvus dauuricus
Corvus frugilegus
Corvus monedula spermologus
Corvus splendens
Cottus gobio
Cottus poecilopus
Coturnix coturnix
Crex crex
Cricetus cricetus
Ctenopharyngodon idella
Cuculus canorus
Cursorius cursor
Cyanistes caeruleus
Cyanistes cyanus
Cyanopica cyanus
Cygnus atratus
Cygnus columbianus
Cygnus cygnus
Cygnus olor
Cyprinus carpio
Cystophora cristata
Dama dama
Delichon urbicum
Delphinapterus leucas
Delphinus delphis
Dendrocopos leucotos
Dendrocopos major
Dendrocopos medius
Dendrocopos minor
Dendroica striata
Dermochelys coriacea
Diplodus sargus
Dryobates minor
Dryocopus martius
Egretta garzetta
Elanus caeruleus
Eliomys quercinus
Epidalea calamita
Emberiza bruniceps
Emberiza calandra
Emberiza chrysophrys
Emberiza cia
Emberiza cineracea
Emberiza cirlus
Emberiza citrinella
Emberiza elegans
Emberiza hortulana
Emberiza leucocephalos
Emberiza melanocephala
Emberiza pallasi
Emberiza pusilla
Emberiza rustica
Emberiza schoeniclus
Emys orbicularis
Epidalea calamita
Epinephelus coioides
Eptesicus nilssonii
Eptesicus serotinus
Equus ferus
Equus caballus
Equus ferus caballus
Eremophila alpestris
Erinaceus europaeus
Erithacus rubecula
Esox lucius
Eubalaena glacialis
Falco biarmicus
Falco cherrug
Falco columbarius
Falco eleonorae
Falco naumanni
Falco peregrinus
Falco rusticolus
Falco sparverius
Falco subbuteo
Falco tinnunculus
Falco vespertinus
Felis catus
Ficedula albicollis
Ficedula hypoleuca
Ficedula parva
Fratercula arctica
Fregata magnificens
Fringilla coelebs
Fringilla montifringilla
Fulica atra
Fulmarus glacialis
Galerida cristata
Gallinago gallinago
Gallinula chloropus
Gallinago media
Gallinago stenura
Garrulus glandarius
Gallus gallus domesticus
Gallus gallus
Garrulus glandarius
Gavia adamsii
Gavia arctica
Gavia immer
Gavia pacifica
Gavia stellata
Gasterosteus aculeatus
Gelochelidon nilotica
Glareola maldivarum
Glareola nordmanni
Glareola pratincola
Glaucidium passerinum
Globicephala melas
Gobio gobio
Grampus griseus
Grus canadensis
Grus grus
Gymnocephalus cernua
Gypeatus neophron
Gyps fulvus
Gyps rueppellii
Haematopus ostralegus
Haliaeetus albicilla
Hemiramphus far
Himantopus himantopus
Himantura uarnak
Hippolais caligata
Hippolais icterina
Hippolais opaca
Hippolais pallida
Hippolais polyglotta
Hirundapus caudacutus
Hirundo rustica
Hoplopterus spinosus
Hydrobates pelagicus
Hydrocoloeus minutus
Hydroprogne caspia
Hyla arborea
Hypophthalmichthys molitrix
Ichthyosaura alpestris
Irania gutturalis
Ixobrychus minutus
Junco hyemalis
Jynx torquilla
Lacerta agilis
Lampetra fluviatilis
Lampetra planeri
Lanius collurio
Lanius cristatus
Lanius excubitor
Lanius isabellinus
Lanius meridionalis
Lanius meridionalis pallidirostris
Lanius minor
Lanius nubicus
Lanius schach
Lanius senator
Larus argentatus
Larus atricilla
Larus audouinii
Larus cachinnans
Larus cachinnans barabensis
Larus canus
Larus canus heinei
Larus delawarensis
Larus fuscus
Larus fuscus heuglini
Larus fuscus intermedius
Larus hyperboreus
Larus ichthyaetus
Larus glaucescens
Larus glaucoides
Larus marinus
Larus melanocephalus
Larus michahellis
Larus pipixcan
Larus sabini
Larus smithsonianus
Larus thayeri
Lepidochelys kempii
Lepomis gibbosus
Leptoptilos crumenifer
Lepus europaeus
Lethrinus microdon
Lethrinus nebulosus
Lethrinus nebulosus
Leucaspius delineatus
Leuciscus leuciscus
Leuciscus idus
Lithobates catesbeianus
Limicola falcinellus
Limosa haemastica
Limosa lapponica
Limosa limosa
Limosa limosa islandica
Limnodromus griseus
Limnodromus scolopaceus
Linaria cannabina
Lissotriton vulgaris
Locustella certhiola
Locustella fasciolata
Locustella fluviatilis
Locustella lanceolata
Locustella luscinioides
Locustella naevia
Lophodytes cucullatus
Lophophanes cristatus
Lota lota
Loxia curvirostra
Loxia leucoptera
Loxia pytyopsittacus
Lullula arborea
Luscinia calliope
Luscinia luscinia
Luscinia megarhynchos
Luscinia sibilans
Luscinia svecica
Lutra lutra
Lymnocryptes minimus
Macropharyngodon negrosensis
Mareca penelope
Marmaronetta angustirostris
Martes foina
Martes martes
Megaptera novaeangliae
Melanitta americana
Melanitta deglandi
Melanitta fusca
Melanitta nigra
Melanitta perspicillata
Melanocorypha bimaculata
Melanocorypha calandra
Meles meles
Mergellus albellus
Mergus merganser
Mergus serrator
Meriones unguiculatus
Merops apiaster
Merops persicus
Mesocricetus auratus
Mesoplodon bidens
Micromys minutus
Microtus agrestis
Microtus arvalis
Milvus migrans
Milvus milvus
Misgurnus fossilis
Monticola saxatilis
Monticola solitarius
Morus bassanus
Motacilla alba
Motacilla cinerea
Motacilla citreola
Motacilla flava
Muntiacus reevesi
Mus musculus
Muscardinus avellanarius
Muscicapa dauurica
Muscicapa striata
Mustela erminea
Mustela nivalis
Mustela putorius
Mustela vison
Myocastor coypus
Myodes glareolus
Myotis bechsteinii
Myotis brandtii
Myotis dasycneme
Myotis daubentonii
Myotis myotis
Myotis mystacinus
Myotis nattereri
Nandinia binotata
Nasua nasua
Natrix natrix
Neomys fodiens
Neophron percnopterus
Neovison vison
Netta rufina
Nucifraga caryocatactes
Numenius arquata
Numenius phaeopus
Nyctalus leisleri
Nyctalus noctula
Nyctereutes procyonoides
Nycticorax nycticorax
Oceanites oceanicus
Oceanodroma castro
Oceanodroma leucorhoa
Odobenus rosmarus
Oenanthe deserti
Oenanthe hispanica
Oenanthe isabellina
Oenanthe leucopyga
Oenanthe oenanthe
Oenanthe oenanthe leucorhoa
Oenanthe pleschanka
Okapira johnstoni
Oncorhynchus mykiss
Ondatra zibethicus
Onychoprion anaethetus
Onychoprion fuscatus
Orcinus orca
Oriolus oriolus
Oryctolagus cuniculus
Osmerus eperlanus
Ostracion cubicus
Otis tarda
Otus scops
Ovis ammon
Ovis aries
Oxyura jamaicensis
Oxyura leucocephala
Pagophila eburnea
Pandion haliaetus
Panthera pardus
Panurus biarmicus
Paracheilinus mccoskeri
Parupeneus margaritatus
Parus major
Passer domesticus
Passer montanus
Passerina amoena
Passerina cyanea
Pastor roseus
Pelobates fuscus
Pelecanus crispus
Pelecanus onocrotalus
Pelecanus rufescens
Pelophylax esculentus
Pelophylax kurtmuelleri
Pelophylax ridibundus
Perca fluviatilis
Perdix perdix
Periparus ater
Pernis apivorus
Petromyzon marinus
Phalacrocorax aristotelis
Phalacrocorax carbo
Phalacrocorax pygmeus
Phalaropus fulicarius
Phalaropus lobatus
Phalaropus tricolor
Phasianus colchicus
Pheucticus ludovicianus
Philomachus pugnax
Phoca groenlandica
Phoca hispida
Phoca vitulina
Phocoena phocoena
Phodopus sungorus
Phoeniconaias minor
Phoenicopterus chilensis
Phoenicopterus roseus
Phoenicopterus ruber
Phoenicurus ochruros
Phoenicurus phoenicurus
Phoxinus phoxinus
Phylloscopus bonelli
Phylloscopus borealis
Phylloscopus collybita
Phylloscopus fuscatus
Phylloscopus griseolus
Phylloscopus humei
Phylloscopus ibericus
Phylloscopus inornatus
Phylloscopus orientalis
Phylloscopus proregulus
Phylloscopus schwarzi
Phylloscopus sibilatrix
Phylloscopus trochilus
Physeter macrocephalus
Pica pica
Picoides tridactylus
Picus canus
Picus viridis
Pinicola enucleator
Pipistrellus nathusii
Pipistrellus pipistrellus
Pipistrellus pygmaeus
Platalea leucorodia
Platichthys flesus
Plecotus auritus
Plectorhinchus gaterinus
Plectorhinchus sordidus
Plectrophenax nivalis
Plegadis falcinellus
Pluvialis apricaria
Pluvialis apricaria altifrons
Pluvialis apricaria apricaria
Pluvialis dominica
Pluvialis fulva
Pluvialis squatarola
Podiceps auritus
Podiceps cristatus
Podiceps grisegena
Podiceps nigricollis
Poecile montana
Poecile palustris
Polysticta stelleri
Pomacanthus maculosus
Porphyrio alleni
Porphyrio porphyrio
Porzana parva
Porzana porzana
Porzana pusilla
Procyon lotor
Prunella collaris
Prunella modularis
Prunella montanella
Pseudorasbora parva
Pseudorca crassidens
Psittacula eupatria
Psittacula krameri
Ptyonoprogne rupestris
Puffinus baroli
Puffinus gravis
Puffinus griseus
Puffinus mauretanicus
Puffinus puffinus
Puffinus yelkouan
Pungitius pungitius
Pyrrhocorax graculus
Pyrrhocorax pyrrhocorax
Pyrrhula pyrrhula
Quiscalus quiscula
Rallus aquaticus
Rana arvalis
Rana dalmatina
Rana temporaria
Rangifer tarandus
Rattus norvegicus
Rattus rattus
Recurvirostra avosetta
Regulus ignicapilla
Regulus regulus
Remiz pendulinus
Rhabdosargus hafara
Rhodeus amarus
Rhodospiza obsoleta
Rhodostethia rosea
Riparia paludicola
Riparia riparia
Rissa tridactyla
Rutilus rutilus
Salmo salar
Salmo trutta
Salvelinus alpinus
Salvelinus fontinalis
Sander lucioperca
Saxicola maurus
Saxicola rubetra
Saxicola torquatus
Saxicola torquatus variegatus
Scardinius erythrophthalmus
Scarus persicus
Sciurus carolinensis
Sciurus vulgaris
Scolopax rusticola
Serinus citrinella
Serinus serinus
Sicista betulina
Silurus glanis
Sitta europaea
Somateria mollissima
Somateria spectabilis
Sorex araneus
Sorex minutus
Sphyraena sphyraena
Spinus spinus
Stenella coeruleoalba
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Stercorarius skua
Sterna dougallii
Sterna elegans
Sterna hirundo
Sterna paradisaea
Sterna sandvicensis
Sternula albifrons
Streptopelia decaocto
Streptopelia orientalis
Streptopelia turtur
Strix aluco
Strix nebulosa
Sturnus unicolor
Sturnus vulgaris
Sula leucogaster
Sula sula
Surnia ulula
Sus scrofa domesticus
Sylvia atricapilla
Sylvia borin
Sylvia cantillans
Sylvia communis
Sylvia curruca
Sylvia hortensis
Sylvia melanocephala
Sylvia minula
Sylvia nana
Sylvia nisoria
Sylvia rueppelli
Sylvia sarda
Sylvia undata
Syrrhaptes paradoxus
Tachybaptus ruficollis
Tadorna cana
Tadorna ferruginea
Tadorna tadorna
Talpa europaea
Tamias sibiricus
Tarsiger cyanurus
Testudo hermanni
Tetrao tetrix
Tetrao urogallus
Tetrax tetrax
Thalassarche melanophris
Thalasseus sandvicensis
Threskiornis aethiopicus
Tichodroma muraria
Timon lepicus
Thymallus thymallus
Tinca tinca
Trachemys scripta
Tringa glareola
Tringa erythropus
Tringa flavipes
Tringa melanoleuca
Tringa nebularia
Tringa ochropus
Tringa stagnatilis
Tringa totanus
Tringa totanus robusta
Triturus cristatus
Troglodytes troglodytes
Tryngites subruficollis
Turdus atrogularis
Turdus eunomus
Turdus iliacus
Turdus iliacus coburni
Turdus merula
Turdus migratorius
Turdus naumanni naumanni
Turdus obscurus
Turdus philomelos
Turdus pilaris
Turdus ruficollis
Turdus torquatus
Turdus viscivorus
Tursiops truncatus
Tyto alba
Tyto alba guttata
Umbra pygmaea
Upeneus tragula
Upupa epops
Uragus sibiricus
Uria aalge
Uria lomvia
Ursus arctos
Vanellus gregarius
Vanellus leucurus
Vanellus vanellus
Vespertilio murinus
Vireo olivaceus
Vipera berus
Vulpes vulpes
Xanthocephalus xanthocephalus
Xenus cinereus
Zamenis longissimus
Zenaida macroura
Zonotrichia albicollis
Zoothera dauma
Zootoca vivipara
